,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Virginia school had three warnings about 6-year-old's gun, says lawyer",Teacher Abigail Zwerner was left with serious injuries after being shot in her classroom.,https://www.bbc.co.uk/news/world-us-canada-64406295,https://ichef.bbci.co.uk/news/1024/branded_news/8633/production/_128355343_gettyimages-1246066065.jpg,2023-01-25T18:35:01Z,"On the day a six-year-old pupil shot and wounded his teacher in the US state of Virginia, school leaders were warned three times that the boy might have a gun, a lawyer for the teacher said. This included a request to search the boy and a report from another child who said the boy had shown him a gun. The teacher - Abigail Zwerner, 25 - is recovering after being released from hospital last week. In the fallout, the school's superintendent has now lost his job. Board members of Richneck Elementary School voted five-to-one to sack George Parker.  The removal of Mr Parker happened only hours after Ms Zwerner's lawyer, Diane Toscano, announced plans to sue the district, saying the shooting was ""entirely preventable"".  Police have not announced any charges. The 6 January shooting - which authorities have described as ""intentional"" - rocked the Virginia city of Newport News, and raised questions about what legal consequences may follow and for whom.  ""On that day, over the course of a few hours, three different times - three times - school administration was warned by concerned teachers and employees that the boy had a gun on him at school and was threatening people,"" said Ms Toscano.  ""But the administration could not be bothered."" According to Ms Toscano: At around 14:00 the boy pointed the gun at Ms Zwerner and fired in the middle of a lesson, police said. Newport News police chief Steve Drew has said Ms Zwerner saved lives by ushering her students out of the class after being shot through the hand and in the chest.  Newport News Mayor Phillip Jones thanked the outgoing superintendent, and said he supports the board's effort to ""hire a dynamic, new leader for our public school system - one that will help us heal and move forward with the necessary changes to make our schools safer for everyone"". The superintendent's salary was over $250,000 (Â£200,000) per year, according to local news outlets. He will continue to receive full salary and benefits until June 2024 because he was fired ""without cause"".  As well as the departure of the superintendent, the assistant principal of Richneck Elementary School is also leaving his post after resigning. Ms Toscano's claims are bolstered by text messages exchanged between the school's teachers and obtained by the Washington Post. According to the messages, Ms Zwerner had raised concerns about the six-year-old and asked for help.  Last week, the family of the young boy said he suffered from an ""acute disability"" and rarely attended school without one of his parents being present. The day of the shooting he had attended school alone.  The family also praised Ms Zwerner, saying she had ""worked diligently and compassionately to support our family as we sought the best education and learning environment for our son"". Police said the gun used by the boy had been legally purchased by his mother. The boy's family said the weapon had been ""secured"". Police have not responded to this claim.  Virginia law prohibits anyone from recklessly leaving a loaded, unsecured firearm in such a way that may endanger a child under 14 years of age. This video can not be played Watch: Dad of school shooting victim climbs crane Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
1,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Joshimath: What’s the future of India's sinking Himalayan town?,Experts say it will be hard to save parts of the town that are already sinking.,https://www.bbc.co.uk/news/world-asia-india-64369752,https://ichef.bbci.co.uk/news/1024/branded_news/61C5/production/_128392052_mediaitem128392051.jpg,2023-01-24T01:40:14Z,"Hundreds of people have been evacuated from Joshimath, a Himalayan town which has been slowly sinking into the ground in India. As residents waited in uncertainty, the BBC's Vineet Khare spoke to experts to understand if the town could be saved. Pushkar Singh Dhami, chief minister of Uttarakhand state where Joshimath is located, said that around 25% of the town's area had been affected by the subsidence.  Joshimath, with 25,000 residents, has around 4,500 buildings spread over 2.5 sq km (0.96 sq miles). More than 800 buildings have developed cracks, and authorities have been demolishing the unsafe ones. ""It doesn't look like the subsiding areas of Joshimath - which comprise settlements, houses and constructions - will survive,"" says geologist Dr SP Sati. ""There are no obstacles down the slope to prevent the subsidence, and there should have been multiple obstacles,"" he says, referring to the lack of green cover in the area. Joshimath was built on the debris of a landslide triggered by an earthquake, and is located in a tremor-prone zone. It frequently witnesses landslides, which have weakened the soil. The subsidence will continue until a new lower level is reached, warns CP Rajendran, a geoscientist and adjunct professor at the National Institute of Advanced Studies. ""It will stabilise eventually, but by then many of the buildings will get damaged,"" he says. Residents are also worried that rain or snow in the days and weeks ahead could worsen the situation. Experts say the present crisis has been caused by several factors including years of unplanned construction, hydropower projects and the lack of a proper drainage system. Back in 1976, a government report had mooted restrictions on heavy construction work in Joshimath, saying that it should only be allowed after examining the ""load-bearing capacity of the soil"". The report had also suggested constructing proper drainage and sewage systems, and installing concrete cement blocks to check erosion. Last year, a report by a government panel echoed many of these recommendations, including building a ""well-planned drainage system"".  But activists have long complained that these haven't been implemented. Local anger is directed at a top Indian power company, the government-owned NTPC Ltd, whose ongoing Tapovan Vishnugad hydro power project, they allege, is tunnelling through the fragile ecosystem. ""The company is responsible for the damage to the historic, cultural town of Joshimath, and it should compensate residents,"" says Atul Sati, the convenor of a group who has been holding protests to save the town. NTPC has denied the allegations. In a statement, it said its tunnel does not pass under the town and that it is at a ""horizontal distance of over a kilometre from the outer boundary of Joshimath town"".  Federal power minister RK Singh has dismissed links between the power plant and the town's condition. ""Nothing happened to the village nearby and the villages above the project, and nothing happened to all the villages in that 15km stretch,"" he said in a recent interview. The federal government's high-profile Char Dham road project, which aims to widen existing roads connecting four Hindu pilgrimage sites, has also drawn criticism. Work on a bypass road that would have passed through Joshimath has been stopped after protests.   ""You cannot have a freeway like the Autobahn [Germany's federal highway system] in Europe built in the Himalayas,"" Mr Rajendran says. Administrators say these allegations could impact ""the inflow of tourists"" to the area and damage the local economy. ""We should ground our claims in science,"" says Himanshu Khurana, the magistrate of Chamoli district, where Joshimath is located. ""The Himalayas are there in China, Nepal, in Pakistan, spread across so many states in India. Why only target Uttarakhand?"" asks R Meenakshi Sundaram, secretary to Uttarakhand's chief minister. ""If the Himalayas are fragile, no development activity should take place in any of these countries and in other states,"" he adds.  Some have also advised caution while deciding the future of the town, which is close to India's border with China. Dr Suvrokamal Dutta, an economic and foreign policy expert allied with the governing Bharatiya Janata Party, says that stopping development activity in border areas ""would be a very cynical and strategically disastrous thing to do, taking into account India's security and strategic concerns due to the China factor"". Some experts still believe the situation is salvageable. Dr Swapnamita Vaideswaran, a geologist at the Wadia Institute of Himalayan Geology, says that the immediate need is to rehabilitate the worst-affected people. In the long term, she says, there will need to be ""a new planned town"" which has stricter building rules. Others disagree. ""This valley seems to be more unstable, more unreliable for human living and construction than your average Himalayan valley,"" says Dr Jeffrey S. Kargel, senior geologist at Planetary Science Institute in the US. ""It should be a national park. Let people come in for short periods of time to enjoy nature and get out,"" he suggests. He refers to a ""similar cracking"" that occurred near the Pakistani town of Aliabad in 2010. A landslide caused debris to block the river Hunza, which in turn prevented water from flowing downstream and created what is now referred to as the Attabad lake.  The BBC reported that thousands had been displaced by the rising water levels in Attabad. The site is now a tourist spot. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
2,"{'id': 'bbc-news', 'name': 'BBC News'}",,Musk's Boring Company shows off tunnels under Las Vegas,The BBC's James Clayton visited the tunnel network carrying passengers in Tesla cars.,https://www.bbc.co.uk/news/av/world-us-canada-64377359,https://ichef.bbci.co.uk/news/1024/branded_news/B599/production/_128398464_p0dygt46.jpg,2023-01-24T17:14:06Z,"This video can not be played During CES in Las Vegas, visitors could take advantage of a new transportation system under the Las Vegas strip.  The BBC's James Clayton visited the Boring Company's tunnel network carrying passengers in Tesla cars. Produced by Click. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Greta Thunberg: German police deny protest detainment was staged,"""We are not extras for Greta Thunberg"" police say, after false claims her detainment at a protest was set up.",https://www.bbc.co.uk/news/world-europe-64321652,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png,2023-01-18T17:33:50Z,"German police have denied being ""extras for Greta Thunberg"" after false claims that her detainment at a protest in western Germany was staged. A viral post falsely claimed the climate activist being held by police was ""all set up for the cameras"". Ms Thunberg and other activists were seeking to stop the abandoned village of LÃ¼tzerath from being demolished for the expansion of a coal mine. The video of her being removed by police has gained millions of views. ""We would never give ourselves to make such recordings,"" a spokesperson for local police told the BBC, denying allegations that Ms Thunberg's detainment was fake. But it is important that the police enable reporting and guarantee the protection of media workers, they added.  The viral video shows the climate campaigner flanked by police officers on either side. Meanwhile a few photographers can be seen snapping photos and moving around her, as Ms Thunberg smiles. Several other police officers who were also standing nearby appear to be waiting with her before walking her away from the scene. Some online have jumped onto these moments of officers and Ms Thunberg waiting around, to falsely claim that it is part of a staged photo opportunity. However the interior ministry of the western state of North Rhine-Westphalia told the BBC that the police officers and Ms Thunberg were waiting for logistical reasons.  ""They had to wait for a couple of minutes before they could bring her to a certain police car,"" said the spokesperson. They added that ""the whole situation has been used by those with political motives and the real reason is entirely practical and mundane.""  Christian Wernicke, a journalist from German news outlet SÃ¼ddeutsche Zeitung who was there at the time, said the police officers ""were deciding how they would proceed with the identity check and waiting to take Greta to the police vehicle."" ""My impression was that there was confusion. Greta was not the first protester who had been taken away from the sit-in,"" Mr Wernicke added. ""I've seen different reactions to the video. Some say that the footage looks like the police are setting her up to embarrass her and others say that it is all part of some propaganda. ""People are interpreting and using this footage for their own motives."" Many online also falsely claimed it was a ""fake arrest"" but police clarified that Ms Thunberg had not been arrested but had been briefly detained.  The group of activists were detained after they ""rushed towards the ledge"" of the Garzweiler 2 mine, police had said on Tuesday. Officers also confirmed all of those detained would not be charged. Ms Thunberg has frequently been the target of conspiracy theories and false claims online, often by those who deny the existence of man-made climate change. She tweeted: ""Yesterday I was part of a group that peacefully protested the expansion of a coal mine in Germany. We were kettled by police and then detained but were let go later that evening. ""Climate protection is not a crime"". Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
4,"{'id': 'bbc-news', 'name': 'BBC News'}",,Why anti-abortion activists still march on Washington,The 1973 Roe v Wade Supreme Court decision gave rise to one of the largest anti-abortion marches in the world.,https://www.bbc.co.uk/news/av/world-us-canada-64227621,https://ichef.bbci.co.uk/news/1024/branded_news/EE89/production/_128356016_p0dxmnyz.jpg,2023-01-20T01:04:41Z,"This video can not be played The 1973 Roe v Wade Supreme Court decision gave rise to one of the largest anti-abortion marches in the world. Year after year, the March for Life has drawn tens of thousands of anti-abortion protesters to flood the US capital. Roe has been overturned but the March continues, 50 years on.  Abortion debate historian Mary Ziegler, who has written six books about the very divisive issue in the US, explains why. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
5,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Quiz of the week: What got cut from Apple boss's pay packet?,How closely have you been paying attention to what's been going on over the past seven days?,https://www.bbc.co.uk/news/world-64319567,https://ichef.bbci.co.uk/news/1024/branded_news/B936/production/_128341474_cookpromoepas.jpg,2023-01-19T16:14:35Z,"It's the weekly news quiz - how closely have you been paying attention to what's been going on in the world over the past seven days? If you cannot see the quiz, follow this link.  Try last week's quiz via this link. Compiled by Andy McFarlane What information do we collect from this quiz? Privacy notice. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
6,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,How Ukraine war led to a new Indian beer in Poland,Two Indians turned a crisis into opportunity when they were stuck with a shipment of rice flakes.,https://www.bbc.co.uk/news/world-asia-india-64315370,https://ichef.bbci.co.uk/news/1024/branded_news/1614D/production/_128354409_chandraandargheve.jpg,2023-01-22T00:50:47Z,"Two Indians have become the first to sell a hybrid beer in Poland that combines Indian rice flakes with European hops. The BBC's Imran Qureshi finds out how the Ukraine war shaped their journey. A year ago, Chandra Mohan, an Indian living in Poland, found himself in a crisis when he was saddled with 20,000 kg (44,092 lb) of rice flakes that a business client didn't want to pick it up. The rice flakes, supplied by a firm based in the northern Indian state of Uttar Pradesh, were being imported by a local businessman to make cereals.  The war in Ukraine had just begun. Four days before the ship carrying the consignment was due at the port in Poland, Mr Mohan's client got cold feet as the exchange rate fluctuated. The client wanted the Indo-Polish Chamber of Commerce, where Chandra Mohan was head of business relations, to come up with a solution to use the shipment he could no longer afford.  Mr Mohan bought the flakes and along with his designer friend Sargheve Sukumaran hit up on an idea of making a beer. ""Chandran said, 'I am thinking of a beer called Malayali,'"" Mr Sukumaran recounts.   Both men hail from the southern Indian state of Kerala, whose natives are called Malayalis after their mother tongue, Malayalam.  ""I was also interested in creating a product that was rooted in our history - in Kerala and Indian traditions - but appealed to a global audience,"" Mr Sukumaran says.  Both men were clear that the beer needed to use the rice flakes but should not be ""a rice-y beer"".   The idea wasn't entirely new. ""There is already Japanese beer that is made of rice with Japanese hops,"" Mr Mohan says. The idea was to distinguish their product by having rice flavour beer with European hops. Mr Mohan and Mr Sukumaran turned to another Malayali for advice.  Lijo Phillip had launched his own beer brand - Kalikut 1498 - in Poland before the pandemic. Kalikut is another way of spelling Calicut (now called Kozhikode) - a district in Kerala.  With his guidance, Mr Mohan and Mr Sukumaran worked on producing their own beer.   ""In Poland, you have a lot of beers coming in from other European countries, particularly the good ones from Belgium,"" Mr Sukumaran says.  But none of these used rice. Mr Mohan is a teetotaller, so Mr Sukumaran took on the task of tasting and testing products.  ""We tried a few times and succeeded on our third try in getting the perfect balance,"" he says.   This video can not be played Bira 91 has become a popular beer brand across India The challenge was now to produce the beer on a large scale.  They two got into an arrangement with a brewery which insisted on taking a boiler on rent with a minimum order. This meant they had to get restaurants on board to serve their beer.  But they decided on a name for the drink. Mr Mohan had been also leading a team of expats which was helping Indians who had fled Ukraine after the war.  ""Most of the volunteers were from Kerala,"" he says. ""And I realised that being Malayali was an emotion [that connected us].""  It inspired the partners to name their drink 'Malayali beer'.   The cultural identity also infused their design of the brand.  Mr Sukumaran designed the label around the headgear worn by artists who perform Kathakali - a traditional dance form from Kerala. He then combined this with the state's love for films by using aviator sunglasses and the moustache of acting legend Mohanlal.   To sustain the business, the two offered a made-to-order bottling service for wedding planners. It was a hit, particularly among Indian immigrants marrying Polish citizens. Now, Malayali Spirits - the company set up by him and Mr Sukumaran - has a contract with a distributor for Indian and Asian grocery stores to supply 2,400 litres (5,074 pints) of beer every two months.  The company claims it has sold over 50,000 bottles of beer so far and plans to increase production soon.  ""We now have several enquiries from other European nations and the US,"" Mr Mohan says. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Light pollution: Huge fall in stars that can be seen with naked eye,Our view of the stars has been reduced every year over the last decade by artificial light pollution.,https://www.bbc.co.uk/news/science-environment-64321824,https://ichef.bbci.co.uk/news/1024/branded_news/6CAC/production/_115102872_c0495095-paris_france_at_night20-1.jpg,2023-01-20T00:39:37Z,"The number of stars that people can see with the naked eye has reduced dramatically over the last decade. The cause is ""Skyglow"" from artificial lighting - the brightness of that glow has increased every year since 2011. Dr Christopher Kyba, a scientist from the German Research Centre for Geosciences in Potsdam, told the BBC: ""Our view of the stars is disappearing"".  He and his colleagues published this discovery in the journal Science.  It is the conclusion of 12 years of amateur astronomers and citizen scientists going out at night to count the stars.  The change in stars' visibility that people reported - by submitting their star counts to an online project called Globe at Night - was equivalent to an almost 10% annual increase in sky brightness every year.  That means, the scientists say, that a child born in an area where 250 stars were visible, would probably see fewer than 100 stars in the same location 18 years later. As light pollution researchers Fabio Falchi and Salvador BarÃ¡ pointed out in an expert  commentary published alongside the research: ""Looking at the International Space Station's images and videos of the Earth at night, people generally are struck by the 'beauty' of city lights, as if they were lights on a Christmas tree.  ""They do not perceive that these are images of pollution. It is like admiring the beauty of the rainbow colours that gasoline produces in water and not recognising that it is chemical pollution."" Dr Kyba said he had hoped to see some signs of improvement in light pollution in recent years, because many urban centres have recently changed their lighting to be more energy-efficient. Towns and cities, particularly in developed countries, are swapping older streetlights for modern LEDS that are more carefully directed downwards, where the light is useful.     ""The hope was that if the light was better directed, the situation would get better,"" he said.   ""But there are so many types of lighting - streetlights, decorative, advertising. So, with all these things combined - and possibly more lighting overall - [we're] making sky brightness worse.""  According to a 2022 study by the European Space Agency the relatively low cost of LED lighting is also contributing to the problem.  The agency described this as a ""lighting paradox"", explaining: ""While the LED lighting revolution promised to reduce energy consumption and improve human vision at night, overall [light pollution has] increased. Paradoxically, the cheaper and better the lighting, the higher society's addiction to light."" Light pollution doesn't just reduce our view of the stars. It has been shown to affect human health and disrupt sleep patterns. It also affects the behaviour of some nocturnal animals, with one recent study linking it with local insect decline.  ""It does not need to be this way,"" insists Dr Kyba. ""There's a lot of room for improvement - if you light more carefully, you should be able to reduce skyglow, whilst still lighting the ground. ""And remember that light pollution is wasted energy. We're continuing to put that light energy into the atmosphere, and maybe that's not what we should be doing."" Additional reporting by Kate Stephens Follow Victoria on Twitter Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Afghan professor: 'If they kill me, I won't stay silent'","Men must stand up and defend the rights of Afghan women and girls, a professor at a Kabul university says.",https://www.bbc.co.uk/news/world-asia-64374606,https://ichef.bbci.co.uk/news/1024/branded_news/67D2/production/_128387562_1.jpg,2023-01-23T16:03:27Z,"""I call on fathers to take the hands of their daughters and walk them to school, even if the gates are shut."" Professor Ismail Mashal, who runs a private university in Kabul, says he has had enough of the restrictions women face in Afghanistan.   Slender and well dressed, he is a mixture of defiance and raw emotion.  ""Even if they're not allowed in - they should do this daily. It's the least they can do to prove they are men,"" he tells me, holding back tears. ""This is not me being emotional - this is pain. Men must stand up and defend the rights of Afghan women and girls."" In December the Taliban government announced female students at universities would no longer be allowed back - until further notice.  They said they were doing this to enable them to create an Islamic learning environment aligned with Sharia law practices, including changes to the curriculum.   Not long after the ban was announced, Prof Mashal went viral on social media after tearing up his academic records live on television, saying there was no point in gaining an education in today's Afghanistan.  He says he won't stay silent. ""The only power I have is my pen, even if they kill me, even if they tear me to pieces, I won't stay silent now,"" Prof Mashal says. ""I know what I am doing is risky. Every morning, I say goodbye to my mother and wife and tell them I may not return. But I am ready and willing to sacrifice my life for 20 million Afghan women and girls and for the future of my two children.""   Prof Mashal's university had 450 female students studying there and they took courses in journalism, engineering, economics and computer science. The Taliban's education minister says these degrees should not be taught to women because they are against Islam and Afghan culture.  Prof Mashal says he could have kept his institution open for male students only - but instead decided to shut it completely.   ""Education is either offered to all, or no one. The day I closed the doors of my institution, I was in a lot of pain.  ""These people are playing with the future of our girls. My students call me and ask me when I think they'll be able to go back. ""I have no answers for them. I have no answers for my 12-year-old daughter who won't be able to go to high school next year. She continues to ask me what crime she has committed?""  Since he went on TV, he has received many threats. Despite this, Prof Mashal appears on local media almost daily.   He's hoping his advocacy will lead to a nationwide campaign. But in this deeply conservative society, how likely is it that other men will join him?  Even within the Taliban government, there are those who oppose the ban on girls' education - but most have not gone public  In response to the decrees, Afghan women across the country have continued to come out onto the streets to demand their rights.  While the protests have been predominantly led by Afghan women, male students and professors over the past few weeks have also begun risking their lives by speaking out - either by refusing to sit their final exams or by resigning from their positions.  Prof Mashal says since the Taliban took over the country, he can't understand their focus on restricting women.  ""Leave these poor women alone. It's enough. There are much bigger issues that need to be dealt with. There is no law and order in this country, it's like being in a jungle.""  The former journalist, 37, says he keeps in regular contact with his female students who are heartbroken by these decisions and he worries about their mental health. One of his students, Shabnam, who was studying economics - a degree the Taliban say is inappropriate for women - says she'll never forget the day armed Taliban soldiers arrived at their school to tell them it would be the last day they could attend classes.  ""We were so afraid and left our classrooms with heavy hearts not knowing when or if we'd ever return. I haven't been able to sleep properly since. I have three sisters and many female cousins and they're all in the same situation. We feel we are trapped inside a cage or prison. Afghanistan is no country for women.""  Another student, Shabana, who was in her first semester of journalism - another degree disapproved of by the Taliban - says she is struggling to cope with the transformation the past year and a half has brought to the lives of women and girls.  ""My heart is shattered. I was hoping to be a newsreader, a good reporter some day but it feels like that dream is over. For as long as I remain in this country, I don't think we will be going back to our universities.  ""We changed the way we dressed. Classrooms were segregated. We did exactly as we were told. But it was still not enough. We feared they would do this to us and they did.  ""Everything feels incredibly bleak for me and my sister now. We are stuck at home, night turns to day and it all feels dark and bleak."" Despite Shabana's anguish, she praised Prof Mashal for taking a stance.  ""It is a very lonely time for the women and girls of my country. There aren't many men who have spoken out. We worry about his safety but we are also so grateful for his support."" Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
9,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Japan PM says country on the brink over falling birth rate,Fumio Kishida says Japan is on the brink of not being able to function due to its falling birth rate.,https://www.bbc.co.uk/news/world-asia-64373950,https://ichef.bbci.co.uk/news/1024/branded_news/6368/production/_128384452_mediaitem128384448.jpg,2023-01-23T12:14:07Z,"Japan's prime minister says his country is on the brink of not being able to function as a society because of its falling birth rate. Fumio Kishida said it was a case of ""now or never."" Japan - population 125 million - is estimated to have had fewer than 800,000 births last year. In the 1970s, that figure was more than two million.  Birth rates are slowing in many countries, including Japan's neighbours. But the issue is particularly acute in Japan as life expectancy has risen in recent decades, meaning there are a growing number of older people, and a declining numbers of workers to support them. Japan now has the world's second-highest proportion of people aged 65 and over - about 28% - after the tiny state of Monaco, according to World Bank data. ""Japan is standing on the verge of whether we can continue to function as a society,"" Mr Kishida told lawmakers. ""Focusing attention on policies regarding children and child-rearing is an issue that cannot wait and cannot be postponed."" He said that he eventually wants the government to double its spending on child-related programmes. A new government agency to focus on the issue would be set up in April, he added. However, Japanese governments have tried to promote similar strategies before, without success. In 2020, researchers projected Japan's population to fall from a peak of 128 million in 2017 to less than 53 million by the end of the century. The population is currently just under 125 million, according to official data. Japan has continued implementing strict immigration laws despite some relaxations, but some experts are now saying that the rules should be loosened further to help tackle its ageing society. Falling birth rates are driven by a range of factors, including rising living costs, more women in education and work, as well as greater access to contraception, leading to women choosing to have fewer children. Last week, China reported its first drop in population for 60 years. Japan is home to the oldest population in the world, after tiny Monaco. It is recording fewer births than ever before. By 2050, it could lose a fifth of its current population. Yet its hostility to immigration has not wavered. Only about 3% of Japan's population is foreign-born, compared to 15% in the UK. In Europe and America, right-wing movements point to it as a shining example of racial purity and social harmony. But Japan is not as ethnically pure as those admirers might think. There are the Ainu of Hokkaido, Okinawans in the south, half a million ethnic Koreans, and close to a million Chinese.  Then there are Japanese children with one foreign parent, which include my own three. These bi-cultural kids are known as ""hafu"" or halves - a pejorative term that's normal here. They include celebrities and sports icons, such as tennis star Naomi Osaka. Popular culture idolises them as ""more beautiful and talented"". But it's one thing to be idolised and quite another to be accepted. If you want to see what happens to a country that rejects immigration as a solution to falling fertility, Japan is a good place to start. Real wages haven't grown here in 30 years. Incomes in South Korea and Taiwan have caught up and even overtaken Japan. But change feels distant. In part it's because of a rigid hierarchy that determines who holds the levers of power. Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking. "
